Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
152	Inventory	Status/Ledger Report	Item Lot wise Stock Report						Report ?Inventory?Status/Ledger Report?Item Lot wise Stock Report		
153	Inventory	Purchase	Pending Purchase Requisition						Report ?Inventory?Purchase?Pending Purchase Requisition		
154	Inventory	Purchase	Executed Purchase Requisition	Indent Wise					Report ?Inventory?Purchase?Executed Purchase Requisition?Indent Wise		
155	Inventory	Purchase	Executed Purchase Requisition	Item Wise					Report ?Inventory?Purchase?Executed Purchase Requisition?Item Wise		
156	Inventory	Purchase	Vendor-Quote Comparison.						Report ?Inventory?Purchase?Vendor-Quote Comparison.		
157	Inventory	Purchase	Vendor Substitution						Report ?Inventory?Purchase?Vendor Substitution		
158	Inventory	Purchase	Purchase Order Status.	Excuted					Report ?Inventory?Purchase?Purchase Order Status.?Excuted		
159	Inventory	Purchase	Purchase Order Status.	Pending Quantity/ Pending Value	Party wise				Report ?Inventory?Purchase?Purchase Order Status.?Pending Quantity/ Pending Value?Party wise		
160	Inventory	Purchase	Purchase Order Status.	Pending Quantity/ Pending Value	item wise				Report ?Inventory?Purchase?Purchase Order Status.?Pending Quantity/ Pending Value?item wise		
161	Inventory	Purchase	Purchase Order Status.	Pending Quantity/ Pending Value	PO wise				Report ?Inventory?Purchase?Purchase Order Status.?Pending Quantity/ Pending Value?PO wise		
162	Inventory	Purchase	Item P/O Rate Analysis.						Report ?Inventory?Purchase?Item P/O Rate Analysis.?		
163	Inventory	Purchase	Purchase Order Amendment History						Report ?Inventory?Purchase?Purchase Order Amendment History		
164	Inventory	Purchase	Order Executed History.	Order * Item Wise					Report ?Inventory?Purchase?Order Executed History.?Order * Item Wise		
165	Inventory	Purchase	Order Executed History.	Party * Order Item Wise					Report ?Inventory?Purchase?Order Executed History.?Party * Order Item Wise		
166	Inventory	Purchase	Items Received Without P.O.	Party					Report ?Inventory?Purchase?Items Received Without P.O.?Party		
167	Inventory	Purchase	Items Received Without P.O.	Item 					Report ?Inventory?Purchase?Items Received Without P.O.?Item 		
168	Inventory	Purchase	Items Under Inspection	Party (DC)/ GRN					Report ?Inventory?Purchase?Items Under Inspection?Party (DC)/ GRN		
169	Inventory	Purchase	Items Under Inspection	C---->W					Report ?Inventory?Purchase?Items Under Inspection?C---->W		
170	Inventory	Purchase	Items Inspection (Exception) Statement	Party					Report ?Inventory?Purchase?Items Inspection (Exception) Statement?Party		
171	Inventory	Purchase	Items Inspection (Exception) Statement	Sub Contractor					Report ?Inventory?Purchase?Items Inspection (Exception) Statement?Sub Contractor		
172	Inventory	Purchase	Purchase Quotation Status	Executed					Report ?Inventory?Purchase?Purchase Quotation Status?Executed		
173	Inventory	Purchase	Purchase Quotation Status	Pending	Partywise				Report ?Inventory?Purchase?Purchase Quotation Status?Pending?Partywise		
174	Inventory	Purchase	Purchase Quotation Status	Pending	Itemwise				Report ?Inventory?Purchase?Purchase Quotation Status?Pending?Itemwise		
175	Inventory	Purchase	Vendor Receipt-Inspection Statement.						Report ?Inventory?Purchase?Vendor Receipt-Inspection Statement.		
176	Inventory	Purchase	Item Purchase -(Party)						Report ?Inventory?Purchase?Item Purchase -(Party)		
177	Inventory	Purchase	Party Sale/Purchase (Itemwise)						Report ?Inventory?Purchase?Party Sale/Purchase (Itemwise)		
178	Inventory	Purchase	Purchase Rate Reconciliation						Report ?Inventory?Purchase?Purchase Rate Reconciliation		
179	Inventory	Purchase	Item/Party Wise Vend Performance						Report ?Inventory?Purchase?Item/Party Wise Vend Performance		
180	Inventory	Purchase	Pending P/O Schedule						Report ?Inventory?Purchase?Pending P/O Schedule		
181	Inventory	Purchase	Purchase Return	PartyWise					Report ?Inventory?Purchase?Purchase Return?PartyWise		
182	Inventory	Purchase	Purchase Return	Item Wise					Report ?Inventory?Purchase?Purchase Return?Item Wise		
183	Inventory	Purchase	PO - Gin - Bill - Payment						Report ?Inventory?Purchase?PO - Gin - Bill - Payment		
184	Inventory	Purchase	Supplimentary History						Report ?Inventory?Purchase?Supplimentary History		
185	Inventory	Purchase	Inward Register						Report ?Inventory?Purchase?Inward Register		
186	Inventory	Purchase	Pending For Qc Test						Report ?Inventory?Purchase?Pending For Qc Test		
187	Inventory	Purchase	Schedule Execution						Report ?Inventory?Purchase?Schedule Execution		
188	Inventory	Purchase	Purchase Register With Tax Details						Report ?Inventory?Purchase?Purchase Register With Tax Details		
189	Inventory	Purchase	Rejection Report						Report ?Inventory?Purchase?Rejection Report		
190	Inventory	Purchase	Overall Indent Status						Report ?Inventory?Purchase?Overall Indent Status		
191	Inventory	Purchase	Goods In Transit Status						Report ?Inventory?Purchase?Goods In Transit Status		
192	Inventory	Purchase	Purchase Register(Item)						Report ?Inventory?Purchase?Purchase Register(Item)		
193	Inventory	Purchase	Transfer register (custom W/H to Normal W/H)						Report ?Inventory?Purchase?Transfer register (custom W/H to Normal W/H)		
194	Inventory	Sales	Item-Price list						Report ?Inventory?Sales?Item-Price list		
195	Inventory	Sales	Items Issued Without S/O	Party					Report ?Inventory?Sales?Items Issued Without S/O?Party		
196	Inventory	Sales	Items Issued Without S/O	Item					Report ?Inventory?Sales?Items Issued Without S/O?Item		
197	Inventory	Sales	Proforma-Invoice Printing	Proforma - Invoice printing (GST)					Report ?Inventory?Sales?Proforma-Invoice Printing?Proforma - Invoice printing (GST)		
198	Inventory	Sales	A/R Following wrt Customer-GIN						Report ?Inventory?Sales?A/R Following wrt Customer-GIN		
199	Inventory	Sales	Sale-Rate- Diff (Retros)						Report ?Inventory?Sales?Sale-Rate- Diff (Retros)		
200	Inventory	Sales	Sale Vis-a-vis Costing	Detail					Report ?Inventory?Sales?Sale Vis-a-vis Costing?Detail		
201	Inventory	Sales	Sale Vis-a-vis Costing	Summary					Report ?Inventory?Sales?Sale Vis-a-vis Costing?Summary		
202	Inventory	Sales	Price Variation Report						Report ?Inventory?Sales?Price Variation Report		
203	Inventory	Sales	Despatch Details						Report ?Inventory?Sales?Despatch Details		
204	Inventory	Sales	Sales Return	Party Wise					Report ?Inventory?Sales?Sales Return?Party Wise		
205	Inventory	Sales	Sales Return	Item Wise					Report ?Inventory?Sales?Sales Return?Item Wise		
206	Inventory	Sales	Sales Enquiry						Report ?Inventory?Sales?Sales Enquiry		
207	Inventory	Sales	Sales Order Amendment History						Report ?Inventory?Sales?Sales Order Amendment History		
208	Inventory	Sales	Supplementary History						Report ?Inventory?Sales?Supplementary History		
209	Inventory	Sales	Sales Vs Rejection						Report ?Inventory?Sales?Sales Vs Rejection		
210	Inventory	Sales	Sale Rate Reconciliation						Report ?Inventory?Sales?Sale Rate Reconciliation		
211	Inventory	Sales	Sales Order Status						Report ?Inventory?Sales?Sales Order Status		
212	Inventory	Sales	Pending Dispatch Order						Report ?Inventory?Sales?Pending Dispatch Order		
